name	type	x	y	z
S1	source	-125.0	42.8	0.0
S2	source	-125.0	0.0	0.0
S3	source	-83.0	42.8	0.0
S4	source	-83.0	0.0	0.0
S5	source	-41.0	42.8	0.0
S6	source	-41.0	0.0	0.0
S7	source	41.0	42.8	0.0
S8	source	41.0	0.0	0.0
S9	source	83.0	42.8	0.0
S10	source	83.0	0.0	0.0
S11	source	125.0	42.8	0.0
S12	source	125.0	0.0	0.0
S13	source	-60.0	90.0	0.0
S14	source	0.0	90.0	0.0
S15	source	60.0	90.0	0.0
D1	detector	-104.0	21.4	0.0
D2	detector	-104.0	-21.4	0.0
D3	detector	-62.0	21.4	0.0
D4	detector	-62.0	-21.4	0.0
D5	detector	-20.0	21.4	0.0
D6	detector	-20.0	-21.4	0.0
D7	detector	20.0	21.4	0.0
D8	detector	20.0	-21.4	0.0
D9	detector	62.0	21.4	0.0
D10	detector	62.0	-21.4	0.0
D11	detector	104.0	21.4	0.0
D12	detector	104.0	-21.4	0.0
D13	detector	-60.0	60.0	0.0
D14	detector	-30.0	90.0	0.0
D15	detector	30.0	90.0	0.0
D16	detector	60.0	60.0	0.0
D17	detector	-125.0	34.8	0.0
D18	detector	-125.0	-8.0	0.0
D19	detector	-83.0	34.8	0.0
D20	detector	-83.0	-8.0	0.0
D21	detector	-41.0	34.8	0.0
D22	detector	-41.0	-8.0	0.0
D23	detector	41.0	34.8	0.0
D24	detector	41.0	-8.0	0.0
D25	detector	83.0	34.8	0.0
D26	detector	83.0	-8.0	0.0
D27	detector	125.0	34.8	0.0
D28	detector	125.0	-8.0	0.0
D29	detector	-54.3	84.3	0.0
D30	detector	-5.7	84.3	0.0
D31	detector	54.3	84.3	0.0